Fish_TAG,Faunistic_grp,Class,ScientificName_accepted,N_tot_in_tractus
3-10-17/FS3-Sole-G0/2,Annelida,Polychaeta errantia,Nereididae,1
3-10-17/FS3-Sole-G0/2,Mollusca,Bivalvia,Bivalvia,1
10-17/FS3bis-Sole-G0/12,Annelida,Polychaeta sedentaria,Polydora ciliata,21
10-17/FS3bis-Sole-G0/12,Mollusca,Bivalvia,Cerastoderma edule,2
10-17/FS3bis-Sole-G0/12,Arthropoda,Hexanauplia,Harpacticoida,2
10-17/FS3bis-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,4
10-17/FS3bis-Sole-G0/1,Annelida,Polychaeta errantia,Eunereis longissima,1
10-17/FS3bis-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,1
3-10-17/FS3-Sole-G0/1,Mollusca,Bivalvia,Bivalvia,18
3-10-17/FS3-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,4
3-10-17/FS3-Sole-G0/1,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/2,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/4,Annelida,Polychaeta errantia,Nereididae,3
10-17/FS3bis-Sole-G0/4,Mollusca,Bivalvia,Bivalvia,1
10-17/FS3bis-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,2
10-17/FS3bis-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,3
10-17/FS3bis-Sole-G0/5,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/18,Mollusca,Bivalvia,Bivalvia,24
10-17/FS3bis-Sole-G0/18,Annelida,Polychaeta sedentaria,Polydora ciliata,4
10-17/FS3bis-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,6
10-17/FS3bis-Sole-G0/3,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/19,Annelida,Polychaeta sedentaria,Polydora ciliata,9
10-17/FS3bis-Sole-G0/19,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/20,Annelida,Polychaeta sedentaria,Polydora ciliata,1
10-17/FS3bis-Sole-G0/20,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/20,Mollusca,Bivalvia,Bivalvia,7
10-17/FS3bis-Sole-G0/6,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/13,Mollusca,Bivalvia,Bivalvia,3
10-17/FS3bis-Sole-G0/21,Mollusca,Bivalvia,Bivalvia,7
10-17/FS3bis-Sole-G0/21,Annelida,Polychaeta sedentaria,Polydora ciliata,1
10-17/FS3bis-Sole-G0/21,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/8,Annelida,Polychaeta sedentaria,Polydora ciliata,6
10-17/FS3bis-Sole-G0/10,Annelida,Polychaeta sedentaria,Polydora ciliata,7
10-17/FS3bis-Sole-G0/10,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/25,Annelida,Polychaeta errantia,Nereididae,2
10-17/FS3bis-Sole-G0/25,Annelida,Polychaeta errantia,Nephtys kersivalensis,1
10-17/FS3bis-Sole-G0/25,Arthropoda,Malacostraca,Crangon crangon,1
10-17/FS3bis-Sole-G0/25,Annelida,Polychaeta sedentaria,Polydora ciliata,2
10-17/FS3bis-Sole-G0/16,Mollusca,Bivalvia,Bivalvia,19
10-17/FS3bis-Sole-G0/16,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/17,Annelida,Polychaeta errantia,Nereididae,1
10-17/FS3bis-Sole-G0/17,Mollusca,Bivalvia,Bivalvia,23
10-17/AN1-Sole-G0/1,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN1-Sole-G0/1,Annelida,Polychaeta sedentaria,Owenia fusiformis,1
10-17/AN1-Sole-G0/1,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN8-Sole-G0/2,Mollusca,Gastropoda,Gastropoda,1
06-17/FN8-Sole-G0/2,Annelida,Polychaeta sedentaria,Spionidae,2
06-17/FN8-Sole-G0/2,Arthropoda,Malacostraca,Gastrosaccus spinifer,1
06-17/FN8-Sole-G0/2,Arthropoda,Malacostraca,Mysidae,1
06-17/FN8-Sole-G0/2,Arthropoda,Ostracoda,Ostracoda,1
06-17/FN8-Sole-G0/2,Mollusca,Bivalvia,Cerastoderma edule,1
06-17/FN8-Sole-G0/2,Arthropoda,Hexanauplia,Copepoda,1
06-17/FN8-Sole-G0/1,Arthropoda,Malacostraca,Pontocrates sp,1
06-17/FN8-Sole-G0/1,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FN8-Sole-G0/1,Arthropoda,Hexanauplia,Sessilia,2
06-17/FN8-Sole-G0/1,Arthropoda,Hexanauplia,Harpacticoida,7
06-17/CC8-FN8-Sole-G0/5,Mollusca,Bivalvia,Cerastoderma edule,11
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Malacostraca,Pariambus typicus,1
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Malacostraca,Diogenes pugilator,1
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Malacostraca,Diastylis sp,1
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Malacostraca,Stenothoe marina,1
06-17/CC8-FN8-Sole-G0/5,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC8-FN8-Sole-G0/5,Annelida,Polychaeta errantia,Polynoidae,1
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/CC8-FN8-Sole-G0/5,Arthropoda,Malacostraca,Amphipoda,1
06-17/CC8-FN8-Sole-G0/2,Annelida,Polychaeta sedentaria,Polydora ciliata,5
06-17/CC8-FN8-Sole-G0/7,Annelida,Polychaeta sedentaria,Polydora ciliata,4
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Hexanauplia,Harpacticoida,4
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Hexanauplia,Sessilia,7
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Malacostraca,Crangon crangon,1
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Malacostraca,Amphipoda,1
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Hexanauplia,Copepoda,1
06-17/CC8-FN8-Sole-G0/7,Arthropoda,Ostracoda,Ostracoda,2
06-17/CC8-FN8-Sole-G0/7,Mollusca,Bivalvia,Bivalvia,1
06-17/FS5-Sole-G0/4,Annelida,Polychaeta errantia,Nephtys sp,1
06-17/FS5-Sole-G0/4,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/FS5-Sole-G0/4,Arthropoda,Malacostraca,Arthropoda,1
10-17/AN2-Sole-G0/4,Arthropoda,Malacostraca,Crangon crangon,2
10-17/AN2-Sole-G0/4,Annelida,Polychaeta sedentaria,Owenia fusiformis,7
10-17/AN2-Sole-G0/4,Arthropoda,Malacostraca,Diastylis sp,3
10-17/AN2-Sole-G0/4,Annelida,Polychaeta sedentaria,Ampharetidae,1
10-17/AN2-Sole-G0/7,Annelida,Polychaeta sedentaria,Owenia fusiformis,2
10-17/AN2-Sole-G0/7,Annelida,Polychaeta sedentaria,Lanice conchilega,3
10-17/AN2-Sole-G0/7,Mollusca,Bivalvia,Bivalvia,2
10-17/AS4-Sole-G0/1a,Arthropoda,Malacostraca,Caridea,1
10-17/AS4-Sole-G0/1a,Arthropoda,Malacostraca,Diastylis sp,3
10-17/AS4-Sole-G0/1a,Annelida,Polychaeta errantia,Nephtys sp,1
10-17/AN2-Sole-G0/5,Annelida,Polychaeta sedentaria,Lanice conchilega,1
09-17/AN3-Sole-G0/4,Annelida,Polychaeta sedentaria,Magelona sp,1
09-17/AN3-Sole-G0/4,Arthropoda,Malacostraca,Crangon crangon,1
09-17/AN3-Sole-G0/4,Mollusca,Bivalvia,Nucula nitidosa,1
09-17/AN3-Sole-G0/4,Arthropoda,Ostracoda,Ostracoda,4
09-17/AN3-Sole-G0/4,Annelida,Polychaeta errantia,Nephtys sp,1
09-17/AN3-Sole-G0/4,Annelida,Polychaeta sedentaria,Spionidae,1
09-17/AN3-Sole-G0/4,Annelida,Polychaeta sedentaria,Polydora ciliata,23
09-17/AN2-Sole-G0/2,Arthropoda,Ostracoda,Ostracoda,2
09-17/AN2-Sole-G0/2,Arthropoda,Malacostraca,Crangon crangon,1
09-17/AN2-Sole-G0/2,Annelida,Annelida sp.,Annelida sp.,1
09-17/AN2-Sole-G0/2,Annelida,Polychaeta sedentaria,Spionidae,1
10-17/AN2-Sole-G0/6,Mollusca,Bivalvia,Bivalvia,24
10-17/AN2-Sole-G0/6,Annelida,Annelida sp.,Annelida sp.,1
10-17/AS5-Sole-G0/4,Mollusca,Bivalvia,Bivalvia,16
09-17/AN1-Sole-G0/1,Arthropoda,Malacostraca,Monocorophium insidiosum,1
06-17/FN8-Sole-G0/4,Annelida,Polychaeta sedentaria,Spionidae,4
06-17/FN8-Sole-G0/4,Mollusca,Bivalvia,Cerastoderma edule,8
06-17/FN8-Sole-G0/4,Arthropoda,Malacostraca,Gastrosaccus spinifer,2
06-17/FN8-Sole-G0/4,Arthropoda,Hexanauplia,Sessilia,1
06-17/FN8-Sole-G0/4,Arthropoda,Ostracoda,Ostracoda,1
06-17/CC8-FN8-Sole-G0/10,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC8-FN8-Sole-G0/10,Arthropoda,Hexanauplia,Harpacticoida,51
06-17/CC8-FN8-Sole-G0/10,Mollusca,Bivalvia,Kurtiella bidentata,1
06-17/CC8-FN8-Sole-G0/10,Arthropoda,Ostracoda,Ostracoda,2
06-17/CC8-FN8-Sole-G0/10,Mollusca,Bivalvia,Bivalvia,8
06-17/CC8-FN8-Sole-G0/10,Annelida,Polychaeta errantia,Polynoidae,1
06-17/CC8-FN8-Sole-G0/10,Arthropoda,Malacostraca,Pariambus typicus,2
06-17/CC1-FS5-Sole-G0/3,Mollusca,Bivalvia,Cerastoderma edule,1
06-17/CC1-FS5-Sole-G0/3,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC1-FS5-Sole-G0/4,Annelida,Polychaeta sedentaria,Spionidae,1
06-17/CC1-FS5-Sole-G0/4,Arthropoda,Hexanauplia,Copepoda,1
06-17/CC1-FS5-Sole-G0/5,Annelida,Polychaeta sedentaria,Polydora ciliata,9
06-17/CC1-FS5-Sole-G0/5,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/CC1-FS5-Sole-G0/6,Annelida,Polychaeta sedentaria,Polydora ciliata,11
06-17/CC1-FS5-Sole-G0/17,Annelida,Polychaeta sedentaria,Polydora ciliata,1
06-17/FN8-Sole-G0/5,Arthropoda,Malacostraca,Gastrosaccus spinifer,1
06-17/FN8-Sole-G0/5,Annelida,Polychaeta sedentaria,Pygospio elegans,2
06-17/FN8-Sole-G0/5,Arthropoda,Hexanauplia,Harpacticoida,4
06-17/FN8-Sole-G0/5,Arthropoda,Ostracoda,Ostracoda,2
06-17/FN8-Sole-G0/5,Mollusca,Bivalvia,Bivalvia,1
06-17/FN8-Sole-G0/5,Arthropoda,Hexanauplia,Sessilia,1
06-17/FN8-Sole-G0/7,Annelida,Polychaeta sedentaria,Pygospio elegans,1
06-17/FN8-Sole-G0/7,Arthropoda,Hexanauplia,Harpacticoida,6
06-17/FN8-Sole-G0/7,Mollusca,Bivalvia,Mactridae,6
06-17/FN8-Sole-G0/7,Arthropoda,Malacostraca,Diastylis sp,1
06-17/FN8-Sole-G0/3,Annelida,Polychaeta sedentaria,Pygospio elegans,1
06-17/FN8-Sole-G0/3,Mollusca,Bivalvia,Mactridae,8
06-17/FN8-Sole-G0/3,Mollusca,Bivalvia,Bivalvia,1
06-17/FN8-Sole-G0/3,Arthropoda,Hexanauplia,Harpacticoida,1
06-17/FN8-Sole-G0/3,Arthropoda,Hexanauplia,Sessilia,1
06-17/FN8-Sole-G0/3,Arthropoda,Ostracoda,Ostracoda,1
