species,labels,grp,alim,d13C,d15N,source
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-20.250294432178187,9.545670598791475,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-19.88091263549451,10.278812556904978,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-22.359043292369176,9.922990329106318,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-21.639189055662854,9.501764551263228,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-20.673341302041344,10.048462680746184,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-19.790963386072942,9.749770853070157,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-19.108796606532326,10.017049003720501,CAPES
Cerastoderma_edule,Cerastoderma e.,Bivalvia,Suspensivore,-19.5562901835328,10.427046661084109,CAPES
Corbula_gibba,Corbula g.,Bivalvia,Suspensivore,-17.802657881817737,8.553080200644597,CAPES
Corbula_gibba,Corbula g.,Bivalvia,Suspensivore,-17.638353469864487,10.024675061161194,CAPES
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-17.684070812770162,14.712037926006953,CAPES
Crangon_crangon,Crangon c.,Crustacea,Omnivore,-17.449946168436362,14.211074823518857,CAPES
Ensis_directus,Ensis d.,Bivalvia,Suspensivore,-19.746865016349755,9.126029726996826,CAPES
Ensis_directus,Ensis d.,Bivalvia,Suspensivore,-19.1706731120201,9.645139449756257,CAPES
Ensis_directus,Ensis d.,Bivalvia,Suspensivore,-18.901922281290005,9.731513681860884,CAPES
Ensis_directus,Ensis d.,Bivalvia,Suspensivore,-18.310060798088973,11.515910865637242,CAPES
Hediste_diversicolor,Hediste d.,Polychaeta,Omnivore,-19.042678446489152,13.58958187374565,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-22.59327103907108,11.806617117421986,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-20.604803872424277,10.90664389713741,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-19.65540902210099,10.851966280220473,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-17.866193175690356,12.316374165500973,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-19.81233861457331,11.185874122669764,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-20.633306716785498,11.551558578919554,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-20.567543327813482,10.899464726838518,CAPES
Lagis_koreni,Lagis k.,Polychaeta,Deposivore,-19.01298950804186,11.223168466702276,CAPES
Lanice_conchilega,Lanice c.,Polychaeta,Deposivore,-20.11752872030122,11.4036908853248,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-17.895952745177997,10.805225043659526,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-18.836989075442446,10.609904584656423,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.316847506615066,10.429491330293693,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.79705135830409,9.100810433523712,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.627769785513376,9.258258177214723,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.179120151082824,9.341716712281984,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-20.129103687795915,11.274453284600284,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.852286580880033,11.626959747405419,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-20.672450527336377,9.59191298322823,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-21.49483100108459,11.04380817972099,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-18.39413375361268,10.729093526521453,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.200743291146463,10.25707742454184,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-18.963486405976738,10.630131596988171,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-18.929381775915665,10.066394252991916,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.12505610857994,9.801369835012892,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.928080050709326,11.679285382487556,CAPES
Limecola_balthica,Limecola b.,Bivalvia,Deposivore,-19.1620425819434,11.089422752796114,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.706632539754523,12.475440005250473,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-15.934917498575654,13.22466382624844,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-17.041686856636527,12.312458907358149,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.401634369156415,11.062304060716706,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-17.896951004863475,12.483891400738692,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-16.8535366096563,12.601531999479182,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.36137007280408,12.185875881955718,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-15.33565788113232,14.083942823463282,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-16.255235349977106,14.625669582286083,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-19.96964389488804,12.161811225355073,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-20.748905647496446,14.261143890233257,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-15.33565788113232,14.083942823463282,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-17.898707384605576,12.5283361982844,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-17.084758922171428,11.842861581267293,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-19.365241385055167,11.966590731070168,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.344326622515048,11.159952228810017,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-20.41104980362458,12.695152780260909,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-19.961470849759426,12.559029882617727,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.583611298380514,14.761794343583915,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-21.260368223965152,13.521920190207485,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-21.68782083690612,14.23939468370325,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-18.27706957512579,11.856922029042188,CAPES
Nephtys_sp,Nephtys sp.,Polychaeta,Omnivore,-17.607276753860354,12.061825237081322,CAPES
